"2013-04-01","Programming","Languages","Ruby","How do you print leading zeros?",,"source"
"2013-04-24","PGM","Template Models",,"What is a Ground Network?","Also called an unrolled network. For a trajectory over 0,...,T we defined a ground network such that (1) the dependency model for X(0)1,...,X(0)n is copied from BN(0), and the dependency model for X(t)1,...X(t)n for all t > 0 is copied from BN->",
"2013-04-25","PGM","Template Models",,"With a set of nested/overlapping plates, each variable is defined by their object types. What would a given instance of an variable that is within three nested/overlapping plates represent? Would it represent instances of the object types (the Uis mentioned above), or instances of the variables themselves (the A's mentioned above)","It would represent instances of the variables, not instances of the object types. It's the difference between grouping things by what they are, rather than by their characteristics. In the quiz example, teachers and courses overlap and are nested within schools. at the deepest nested level, we're looking at teachers from a given school teaching a certain class, rather than teachers of expertise E teaching a class of difficulty D at a school at location L. E,D,L are parameters, not the things we are observing.",
"2013-04-25","PGM","Template Models",,"Let A and B be random variables inside a common plate indexed by i. Is there an instance of A and an instance of B for every i?","Yes.",
"2013-04-24","PGM","Template Models",,"What is a template variable?","It is a model that is repeated throughout a model--there is sharing between and within these models",
"2013-04-24","PGM","Template Models",,"What is a template model?","template models are languages that specify how ground variables inherit dependency model from template",
"2013-04-22","PGM",,,"What do each Probabilistic, Graphical, and Models mean?","Probabilistic: brings a declarative representation with clear semantics, powerful reasoning patterns, and established learning methods. Graphical: lots of variables captured in random variables. Models: Declarative representation of our view of the world.",
"2013-04-22","PGM",,,"What is a Bayesian network?","it is a directed graph where the nodes are random variables",
"2013-04-22","PGM",,,"What is one problem with pure machine learning?","It isn't as specific as PGM are; remember the image segmentation of the cow and the car.",
"2013-04-22","PGM",,,"What is renormalization?","it is setting one variable to a constant value and finding the probability distribution of the remaining variables by dividing each of those variables' probabilities by the sum of all probabilities.",
"2013-04-22","PGM",,,"What is marginalization?","It is removing one variable from the distribution entirely",
"2013-04-22","PGM",,,"What is a factor?","It is a function or a table of values. It is defined as Phi(X_1, ... , X_n) => real-numbered value. Its scope is all the random variables which comprise it.",
"2013-04-22","PGM",,,"What is an unnormalized measure?","It is when you hold one variable constant to one value across all other values of other variables, without normalizing those values. It is a factor.",
"2013-04-22","PGM",,,"What is factor marginalization?","It is reducing out variables of a factor by adding up all values of other variables across all values of the variable you are removing",
"2013-04-22","PGM",,,"What is factor reduction?","removing one variable using factor marginalization, i think",
"2013-04-22","PGM",,,"What is a markov network?","It is an undirected graph",
"2013-06-06","Programming","Javascript",,"How do you override the action of a submit button?","Write a function that grabs the form when submit is clicked and manually passes the parameters. Be careful to use a post request, and when you do, remember that post doesn't pass data in the same way as get.",
"2013-04-02","Programming","Javascript",,"What does having a Javascript runtime even mean? is it like the JVM?",,"source"
"2013-03-04","Programming","Javascript",,"How do you parse xml?","call $parseXML on the xml, and then call $(data).find('<tag here>').each for each tag you want to get","source"
"2013-03-04","Programming","Javascript",,"What is a closure?","it is a funciton that contains both the function and the environment in which the function was created; hence, you can have variables that were passed into that function as parameters when that function was defined.","source"
"2013-04-04","Programming","Javascript",,"What happens when you surround a variable with $() in javascript?","$ is shorthand for the library used, such as $ is short for jQuery. jQuery() is a function that returns an element given an identifier. hence. $() returns an identifier.","source"
"2013-04-04","Programming","Javascript",,"what's the difference between $.get and $.ajax?","$.ajax is a pure http request that accepts configurations. $.get is $.ajax with some of those configurations already set.","source"
"2013-05-03","Programming","PHP",,"What do you use to encode urls?","urlencode(), duh","source"
"2013-04-03","Programming","Python",,"Are case statements supported?","No. if-else instead.","source"
"2013-04-03","Programming","Python",,"Are hashes and objects the same thing?","err... no.","source"
"2013-04-03","Programming","Python",,"Are there blocks in python?","no","source"
"2013-04-03","Programming","Python",,"Are there default return values in Python?","no","source"
"2013-04-03","Programming","Python",,"Are there module mixins, as in Ruby?","no","source"
"2013-04-03","Programming","Python",,"How can you emulate first-class functions in Ruby?","using procs","source"
"2013-04-03","Programming","Python",,"How do you determine your system's processor type?","cat /proc/cpuinfo for procesor info, uname -a for operating system type","source"
"2013-04-03","Programming","Python",,"How is Python's importing more fine-grained?","You don't import huge libraries, you import the pieces you need. You say 'from xyzlib import somemethod'. you can also import any number of methods from a module","source"
"2013-04-03","Programming","Python",,"How is Python's map function superior to Ruby's?","It forces the coder to factor things out into granular methods. much easier to read and fix, more maintainable","source"
"2013-04-03","Programming","Python",,"Name three things that take time in programming. (sorry, I'm still learning how to write questions.)","hash table lookups, allocations, copying","source"
"2013-04-03","Programming","Python",,"What is a filter?","similar to a map, it takes two arguments, a method name, and a list. the method is a boolean method, and the filter returns all members of the list that return true when passed to the method.","source"
"2013-04-03","Programming","Python",,"What is a map?","it takes two arguments, first is a method name, second is a list. it applies the method to each member of the list.","source"
"2013-04-03","Programming","Python",,"What is a proc?","it is an object that calls a function with fixed arguments. see the proc description page","source"
"2013-04-03","Programming","Python",,"What is a tuple?","it is a list that can't change","source"
"2013-04-03","Programming","Python",,"What is an anonymous function?","used in maps and filters, they are defined inline with the map/filter arguments","source"
"2013-04-03","Programming","Python",,"What is faster, reading a field from a struct in C, or reading an attribute in Python?","apparently, they are both the same speed","source"
"2013-04-03","Programming","Python",,"What is Python's version of a hash?","a list","source"
"2013-04-03","Programming","Python",,"What is Python's version of an array?","a list","source"
"2013-04-03","Programming","Python",,"What is the Enumerable map method?","it is a block method, and it returns an Enumerable with each member of the original Enumerable applied to the code specified in the block","source"
"2013-04-03","Programming","Python",,"What is the problem with dynamic typing?","No problem. optimization is done with tracing JIT's, method JITs, and predictive type inferencers","source"
"2013-04-03","Programming","Python",,"What takes the place of Rubys Enumerable functionality?","built in functions like map, reduce, filter","source"
"2013-04-03","Programming","Python",,"What values evaluate to false?","0,{},None,(nil),[],(),''","source"
"2013-04-03","Programming","Python",,"Why is python slower than c in a function that returns an array of squares?","because on each pass of the loop, python reallocates the side of the array, whereas this is done beforehand in C","source"
"2013-04-03","Programming","Python",,"Why might Python be superior?","1. bigger community 2. more consistent syntax 3. the source of imported functionality is obvious 4. explicit class & method structure makes code easier to follow","source"
"2013-04-03","Programming","Python",,"Does Python support inner methods?","yes","source"
"2013-04-04","Programming","Rails",,"How do you get a controller to respond with xml based on a view?","in the controller, put: response.headers['Content-type'] = 'text/xml; charset=utf-8'
                render :layout => false. also, create a view with .xml.erb extension, with whatever <%= %> tags that make sense to fill it out.","source"
"2013-04-04","Programming","Rails",,"How do you get a controller to respond with xml?","in the controller, use render(object_to_convert_to_xml.to_xml)","source"
"2013-04-03","Programming","Regular Expressions",,"What does [/w+-d+/] mean?","arbitrary number of letters, then a hyphen, then an arbitrary number of integers","source"
"2013-04-01","Programming","Ruby",,"What does each part of < '%03d' % 5 > mean?","Left side is a printf format string, right side is the value to put into those spaces. 03 means pad the number to 3 spaces","source"
"2013-04-01","Programming","Ruby",,"What does the * in [*1..30] do?",,"source"
"2013-04-01","Programming","Ruby",,"What's the difference between a do block and a {||} block?","do-end seems to be used when you don't want to do anything with the return value of the block, braces are used when you do want to do something with it","source"
"2013-04-01","Programming","Ruby",,"When you call a method inside a method such as self.method, and this is done within a self.method, which method is getting called, an object method, or a class method?",,"source"
"2013-04-02","Programming","Ruby",,"How do you sent HTTPS post requests with ruby?","require both 'uri' and 'net/https'. create http objects like normal, but set http.use_ssl to true.","source"
"2013-04-02","Programming","Ruby",,"What does extract_options! do?","it takes a list of args, and puts them into an arguments array and an options hash, respectively","source"
"2013-05-04","Programming","Ruby",,"How do you iterate through each line of a file?","first open a file for reading, then call file.each_line do |line| on it.","source"
"2013-04-26","Programming","Ruby",,"what's wrong with this: strings.each {|s| s = s + 'banana'}","the members of strings won't get updated, they're just copies I guess.",
"2013-04-16","Programming","Ruby",,"Are collections passed by reference or by value to arguments?","by reference",
"2013-04-16","Programming","Ruby",,"How do you sort a hash by value?","Hash[hash.sort_by {|key, value| value}]",
"2013-04-03","Programming",,,"What does first class function mean?","this means that functions are treated as first-class citizens. that is, they can be passed as arguments, they can be returned from other functions, just like objects and other data structures are.","source"
"2013-04-03","Programming",,,"What is a JIT?","stands for Just In Time.","source"
"2013-04-03","Programming",,,"What two things, broadly, cause slowness?","data structures and algorithms","source"
"2013-06-03","Programming",,,"What is a cache?","Two main types--memory cache and disk cache. memory cache is held in SRAM, as opposed to DRAM. SRAM is faster. Current computers use L2 or L3 cache. When accesses are made from disk, the most recent contents are kept in memory.","source"
"2013-06-04","Statistics","Line smoothing",,"What is double exponential smoothing?","similar to exponential smoothing, except each next statistic is also affected by a term b, which is determined by previous statistics and a smoothing factor B.",
"2013-06-04","Statistics","Line smoothing",,"What is exponential smoothing?","given discrete data points {x_1,...,x_n}, we form a new curve of points {s_1,...,s_n} which are defined as s_1 = x_0, and s_t is s_t-1 + alpha(x_t-1 - s_t-1). basically we compute each next s_t by modifying the previous s_t-1 by whatever alpha we choose.",
"2013-05-30","Statistics",,,"What is a test statistic?","it is a function of the sample; it is a numerical summary of the data set.","http://en.wikipedia.org/wiki/Test_statistic"
"2013-06-06","Talia","Birthday",,"When is talias birthday?","June 6",
"2013-04-09","Work","Akamai",,"How is the akid determined if not by a cookie?","It seems it actually is determined by a cookie.",
"2013-05-04","Work","User Modeling",,"what is one weakness of demographic/behavioral targeting?","the segments of users are not created using any feedback from individual advertisers, and usually represent large interest groupos. also, the targeting methods are based on clicks rather than on actual purchases","source"
"2013-05-04","Work","User Modeling",,"What is the difficulty of using advertiser data in addition to demographic/behavioral targeting?","now the platform has to find a different segment for each advertiser, and thus solve orders of magnitude more optimization problems","source"
"2013-05-04","Work","User Modeling",,"What is the frequency of an event?","number of days in which use has performed the event; recall the types of events above","source"
